date,location,morning,afternoon,evening,alcohol?,0:00,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,notes
3/11/20,"DE, Dre",5,4,7,a.bit,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,H,WL-i,WL-i,WL-i,WL-i,WI-u,WI-u,P,WI-u,WI-u,WL-u-e_R_1,WL-i,WI-u,WI-u,WI-u,WI-u,WI-u,Ch-e_Bf,WI-u,WI-u,WI-u,WI-u,WI-u,H Q-bl,Q-bl,WI-u,WI-u,WI-u,WI-e_R_1_Fr_2,WI-e_R_1_Fr_2,ExL Q-p,ExL Q-p,ExL Q-p,ExL Q-p,WL-a,WI-u,WI-u,WI-u,WI-u,WI-u,WI-u,WI-u,WI-u,H,H,WI-u,WI-u,WI-u,Ch_Fr_1,Q-bl,Ch_Fr_2,Ch_Fr_2,Ch_Fr_2,Ch_Fr_2,Ch_Fr_2,Ch_Fr_2,Ch_Fr_2,Ch_Fr_2,Ch_Fr_2,Ch_Fr_2,Ch_Fr_2,WI-i,C-b,C-b,WL-i,H,
4/11/20,"DE, Dre",3,4,4,no,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,ExL H,H,ExL H,H,WL-a,WL-i,WL-a,WL-a,WI-u-e_Fr_1,WI-u-e_Fr_1,WI-u-e_Fr_1,WL-a,H,WI-u,WI-u,WI-u,WI-u,WI-u,H,WI-u,WI-u,WI-u,H,H,WI-u,WI-u,WI-u,WI-u,WI-u,P,H,WI-u,WI-u,WI-u,WI-u,WI-u,WI-u,Q-yt,WI-u,WI-u,WI-u,WI-u,H,H,WI-u,WI-u,WI-u,WI-u,WI-u,WI-u,WI-u,H,H,C-d,C-d,C-d,WI-ger,Ch_Fr_1,WL-i,WL-i,WI-ger,WI-i,Ch_Fr_1,C-b,C-b,WL-i,
5/11/20,"DE, Dre",5,7,7,no,Ch-e_Bf,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,H,H Q-n,WI-u,WI-u,WI-u,WI-u,ExL Q-p,ExL Q-p,WI-u,WI-u,WI-u-e_Fr_1,WI-u-e_Fr_1,WI-u-e_Fr_1,WI-u-e_Fr_1,WI-u-e_Fr_1,Q-ch,WI-i,WI-u,WI-u,WI-u,WI-u,WI-u,WI-u,WI-u,WI-u,H,WL-a,WL-a,WL-a,Ch-e_Bf,WI-u,WI-u,WI-u,WI-u,WI-u,H,WI-u,WI-u,WI-u,WI-u,WI-u,WI-u,WI-u,WI-u,WI-u,WI-u,WI-u,Q-ch,WI-i,WI-i,WI-i,WI-i,WI-i,H,H,Ch-e_Fr_2,Ch-e_Fr_2,Ch-e_Fr_2,Ch-e_Fr_2,Ch-e_Fr_2,Ch-e_Fr_2,Ch-e_Fr_2,Ch-e_Fr_2,Ch-e_Fr_2,H,Ch-e_Bf,
6/11/20,"DE, Dre",6,6,6,no,Ch-e_Bf,Q,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,H,Ch_Fr_1,Ch_Fr_1,WI-u,WL-u,WL-a,WI-u-e_R_12,WL-u-e_R_12,WL-a,WI-u-e_R_12,H_R_1,H WL-u,H_R_1,WL-u,WI-u,WI-u,WI-u,WI-u,WI-u,WI-u,H,H Q-yt,WI-u,WI-u,WI-u,WI-u,WI-u-e_Fr_1,WI-u-e_Fr_1,H,ExL,ExL,ExL,ExL Q-p,ExL Q-p,WI-u,WI-u,ExI WL-u,WL-u,WI-u,WI-u,WI-ger,H,H,WI-ger,WI-ger,WI-ger,WI-ger,WI-ger,WL-a,WL-a,WL-a,Ch_Fr_1,Ch_Fr_1,Ch_Fr_1,Ch_Fr_1,WI-i,Ch_Fr_1,Ch_Fr_1,WI-i,WI-i,WI-i,WI-i,WI-i,WI-i,C-b,C-b,
7/11/20,"DE, Dre",6,5,5,no,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,ExL,Q-bl,H,H,Q-bl,C-b,C-b,C-b,Ch-e_Fr_1,Ch-e_Fr_1,Ch-e_Fr_1,Ch-e_Fr_1,Ch-e_Fr_1,Ch-e_Fam_1,WI-u,WI-u,WI-u,WI-u,WI-u,WI-u,WI-i,H WI-i,WI-i,WI-i,WI-i,Q-ch,WI-i Q-p,WI-i Q-p,WI-i Q-p,WI-i Q-p,WI-i Q-p,Q-ch,WI-i,WI-i,WI-i,WI-ger,WI-ger,WI-ger,WI-ger,WI-ger,C-b,C-b,C-b,C-b,C-b,C-b,Ch_Fr_1,WL-i,WL-i,WL-i,WL-i,WL-i,WL-i,WL-i,WL-i,WL-i,WL-i,WL-a,WI-i,H,WL-a,WI-i,WI-i,WI-i,WI-i,WI-i,
8/11/20,"DE, Dre",4,5,5,a bit,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,ExL,Q-bl,H,H Q-bl,WL-a,WI-u,WI-u,WI-u,WI-u,WI-u,WI-u,WI-u,WI-u,ExL Q-p,WI-i Q-p,WI-i Q-p,WI-i Q-p,WI-i Q-p,WI-i Q-p,WI-i Q-p,WI-i Q-p,WI-i Q-p,WI-i Q-p,ExL Q-p,H,H,Ch-e_Fam_1,Ch-e_Fam_1,Ch-e_Bf,P-sm,WI-ger,WI-ger,WI-ger,WL-a,WI-o-e_Fam_1,WI-o-e_Fam_1,WI-o-e_Fam_1,WI-o-e_Fam_1,WI-o-e_Fam_1,WI-o-e_Fam_1,WI-o-e_Fam_1,WL-i_Fr_1,WL-i_Fr_1,WL-i_Fr_1,WL-i_Fr_1,WL-i_Fr_1,WL-i_Fr_1,WL-i_Fr_1,Ch_Fr_3,Ch_Fr_3,Ch_Fr_3,Ch_Fr_3,Ch_Fr_3,Ch_Fr_3,Ch_Fr_3,Ch_Fr_3,Ch_Fr_3,Ch_Fr_3,Ch_Fr_3,H,H,WL-i,WI-i,WI-i,Ch-e_Bf,Ch-e_Bf,
9/11/20,"DE, Dre",5,5,4,no,Q,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,ExL Q-p,H Q-p,ExL Q-p,H,H Q-p,WL-a,WL-u-e_Fr_10,WL-u-e_Fr_10,WL-u-e_Fr_10,WL-u-e_Fr_10,WL-u-e_Fr_10,WL-u-e_Fr_10,WL-u-e_Fr_10,WL-u-e_Fr_10,WL-u-e_Fr_10,WL-u-e_Fr_10,WL-i,WL-i,WL-i,WL-i,H,WL-i,WL-u-e_Fr_10,WL-i,WL-i,WL-a_R_1,WL-u-e_Fr_10,WL-a_R_1,WL-u-e_Fr_10,WL-u-e_Fr_10,WL-i,WL-i,WL-i,WL-i,WL-i,WL-u-e_Fr_10,WI-u,WI-u,WI-u,WI-u,WI-u,WI-u,WI-u,WI-u,WI-u,H,WI-u,P-sm,WI-ger,WI-ger,ExL Q-p,ExL Q-p,ExL Q-p,ExL Q-p,ExL Q-p,Ch_Fr_1,WI-ger,WI-ger,Q-n,C-b,C-b,C-b,WI-i,C-b,C-b,C-b,
10/11/20,"DE, Dre",5,5,4,no,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,H,H Q-n,WI-u,WI-u,WI-u,WI-u,WI-u,ExI,WI-u,H,WI-u-e_R_1_Fr_10,WI-u-e_R_1_Fr_10,WI-u-e_R_1_Fr_10,WI-u-e_R_1_Fr_10,WL-u-e_R_1_Fr_10,WL-u-e_R_1_Fr_10,WL-u-e_R_1_Fr_10,ExL Q-p,ExL Q-p,H Q-p,H,WI-u,WI-u,WL-u-e_R_1_Fr_10,WI-u,WI-u,WI-u,WI-u,WL-u-e_R_1_Fr_10,WL-u-e_R_1_Fr_10,WL-u-e_R_1_Fr_10,WL-u-e_R_1_Fr_10,WL-u-e_R_1_Fr_10,WL-u-e_R_1_Fr_10,WL-u-e_R_1_Fr_10,WL-u-e_R_1_Fr_10,WL-u-e_R_1_Fr_10,WL-u-e_R_1_Fr_10,WL-u-e_R_1_Fr_10,WL-i Q-p,WL-i Q-p,WL-i Q-p,WL-i Q-p,WL-i Q-p,WL-i,H,Q-ch,WI-u,WI-u,WI-u,WI-u,WI-u,WI-u,WI-u,WI-u,WI-u,WI-u,H,Ch_Fr_1,WI-ger,WI-ger,WI-i,C-b,C-b,C-b,C-b,
11/11/20,"DE, Dre",5,5,4,no,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,H,H Q-n,WI-u,WI-u,WI-u,H,WL-u-e_Fr_10,WL-u-e_Fr_10,WL-u-e_Fr_10,WL-u-e_Fr_10,WL-u-e_Fr_10,WL-u-e_Fr_10,WL-u-e_Fr_10,WL-u-e_Fr_10,WL-u-e_Fr_10,WL-u-e_Fr_10,WL-u-e_Fr_10,WL-u-e_Fr_10,WL-u-e_Fr_10,WL-u-e_Fr_10,H,H,Q-ch,WI-u,WI-u,WI-u,WL-u-e_Fr_10,WL-u-e_Fr_10,WL-u-e_Fr_10,WL-u-e_Fr_10,WL-u-e_Fr_10,WL-u-e_Fr_10,WL-u-e_Fr_10,WL-u-e_Fr_10,WI-u,WI-u,WI-u,WI-u,WI-u,WI-u,WI-u,WI-u,WI-u,WI-u,WI-u,H Q-p,H Q-p,WI-ger,WI-ger,WI-ger,WI-ger,ExL Q-p,ExL Q-p,ExL Q-p,ExL Q-p,ExL Q-p,H Q-p,C-b,C-b,C-b,C-b,C-b,C-b,C-b,C-b,WI-i,
12/11/20,"DE, Dre",5,5,4,no,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,H,WI-u,WI-u,WI-u,WI-u,H,WL-u-e_Fr_10,WI-u,WL-u-e_Fr_10,WI-u,WI-u-e_Fr_10,WI-u-e_Fr_10,WI-u,WI-u,WI-u,WI-u,WI-u,WI-u,WI-u,WI-u,H,WI-u,WI-u,WI-u,WI-u,WI-u,WI-u,WI-u,WI-u,H,WI-u-e_Fr_1,WI-u-e_Fr_1,WI-u-e_Fr_1,WI-u-e_Fr_1,WI-u-e_Fr_1,WI-u-e_Fr_1,WI-u-e_Fr_1,WI-u-e_Fr_1,ExI Q-p,ExI Q-p,ExL Q-p,H Q-p,H Q-p,H Q-p,H Q-p,H Q-p,ExI Q-p,ExI Q-p,H Q-p,H Q-p,H Q-p,H Q-p,WI-ger,WI-ger,WI-ger,WI-ger,C-b,C-b,C-b,C-b,WI-i,C-b,C-b,C-b,Ch-e_Bf,C-b,
13/11/20,"DE, Dre",5,5,5,no,H,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,H,H,WI-u,WI-u,WI-u,WI-u,WI-u-e_Fr_1,WI-u-e_Fr_1,WI-u-e_Fr_1,WI-u,WI-u,H,WI-u,WI-u,WI-u-e_Fr_1,WI-u-e_Fr_1,Q-ch,WI-u,WI-u,H,H,WI-u,WI-u,WI-u,WI-u,WL-u-e_Fr_10,WL-u-e_Fr_10,WL-u-e_Fr_10,WL-u-e_Fr_10,WL-u-e_Fr_10,WL-u-e_Fr_10,WL-u-e_Fr_10,H,WI-u,WI-u,WI-u,WI-u,WI-u,WI-u,WI-u,WI-u,WI-ger,WI-ger,WI-ger,WI-ger,ExL Q-p,ExL Q-p,ExL Q-p,ExL Q-p,Q-ch,P-p,Q,Q,Q,WL-i,Ch_Fr_1,WL-i,WL-i,WL-i,C-b,C-b,C-b,C-b,C-b,C-b,Ch-e_Bf,
14/11/20,"DE, Dre",5,5,5,no,Ch-e_Bf,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,H,ExI Q-p,ExI Q-p,ExI Q-p,ExI Q-p,ExI Q-p,ExI Q-p,ExI Q-p,ExI Q-p,ExL,H,Ch_Fr_1,H,Q,WI-u,WI-u,WI-u,H Q-bl,WI-u,WI-u,WI-u,WI-u,WI-u,WI-u,H,ExL Q-p,ExL Q-p,ExL Q-p,ExL Q-p,ExL Q-p,WI-i Q-p,WI-i Q-p,WI-i Q-p,WI-i Q-p,WI-i Q-p,ExL Q-p,Ch-e_Fam_1,Ch-e_Fam_1,ExL H Q-p,ExL H Q-p,WI-i Q-p,WI-i Q-p,WI-i Q-p,WI-i Q-p,WI-i Q-p,Q-bl,Q-bl,H,H,WI-u,WI-u,WI-u,Ch-e_Bf,WI-u,Ch_Fr_1,WI-ger,WI-ger,WI-ger,WI-ger,H,C-b,C-b,WI-u,C-b,C-b,C-b,
15/11/20,"DE, Dre",5,6,4,no,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,H,Q-bl,H,H,Q-ch,P-sm,WI-u,WI-u,WI-u,WI-u,WI-u,WI-u,H,WI-u,WI-u,WI-u,WI-u,WI-u,WI-u,WI-u,WL-a,WL-a,WL-a,C-b,C-b,C-b,ExL,Q-bl,Ch_Fr_2,ExL_Fr_1,ExL_Fr_1,ExL_Fr_1,ExL_Fr_1,ExL_Fr_1,ExL_Fr_1,ExL_Fr_1,ExL_Fr_1,Ch_Fr_1,Ch_Fr_1,Ch-e_Bf,H,WL-o-e_Fam_1,WL-o-e_Fam_1,WL-o-e_Fam_1,WL-o-e_Fam_1,H,WI-ger C-tv,WI-ger C-tv,WI-ger C-tv,WI-ger C-tv,WI-ger C-tv,Ch-e_Fam_1,WI-i,WI-i,Ch-e_Fam_1,Ch-e_Bf,H,WI-i Q-p,WI-i Q-p,WI-i Q-p,WI-i Q-p,WI-i Q-p,H,WI-i,C-b,C-b,C-b,C-b,
16/11/20,"DE, Dre",4,2,5,no,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,H,H Q-p,WI-u,WI-u,WL-a,WL-a,WI-u,WI-u,WI-u,WI-u,H,WI-u,WI-u,WI-u,WI-u,H,WI-u,WI-u,WI-u,WI-u,WI-u,WI-u,H Q-bl,WI-u,WI-u,WI-u,WI-u,WI-u,WI-u,WI-u,WI-u,WI-u,WI-u,WI-u,WI-u,H,WI-u,WI-u,WI-u,WI-u,WI-u,WI-u,WI-u,ExL WI-ger,ExL Q-p,ExL Q-p,ExL Q-p,ExL Q-p,H,WI-ger,WI-ger,WI-ger,H WI-ger,Ch-e_Bf,WL-a,Ch_Fr_1,WL-i,WL-i,WL-i,WL-i,C-b,C-b,WI-i,C-b,C-b,C-b,
17/11/20,"DE, Dre",5,5,5,no,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,H,H,WI-u,WI-u,WI-u,WI-u,WI-u,WI-u,WI-u,WI-u,WI-u,Q-ch,WI-u,WI-u,WI-u,ExL Q-p,ExL Q-p,ExL Q-p,H Q-p,WI-u,WI-u,WI-u,WI-u,WI-u,H,WI-u,WI-u,WI-u,WL-a,WI-u,WI-u,WL-a,ExI,Q-bl,ExI,WI-u,WI-u,WI-u,WI-u,WI-u,WI-u,WI-u,WI-u,WI-u,WI-u,WI-u,WI-u,H,H,WI-ger,WI-ger,WI-ger,WI-ger,WL-i,WL-i,WL-i,WL-a,WL-a,C-b,C-b,WI-i,C-b,C-b,C-b,C-b,C-b,
